Tweet,Sentiment
@ryan3levis Telia park is the stadium :),positive
"@B_Gliese That's great mate, nice one! What about from Telia Park to the central stadium? Match over at half 9ish,… https://t.co/nu3BE84uh5",positive
RT @The2019Seniors: 2 MONDAYS TO HALLOWEEN 🎃🍫,neutral
6 MONDAYS TO THANKSGIVING 🍗❄️,neutral
10 MONDAYS TO CHRISTMAS 🎄🎁,positive
11 MONDAYS TO NEW YEARS 🎉🔥,neutral
25 MONDAY…,neutral
Telia Agrees to Pay $1 Billion in Penalties in Uzbek Corruption Scandal Settlement https://t.co/h9m0oadpgE https://t.co/lE98vb93Ox,neutral
RT @Holy_Mowgli: 🎶welcome 2 mycology we give fungus names,neutral
zygospores alkaloids apical membranes,neutral
we find whatevr u may need,neutral
flagella telia u…,neutral
"Telia Carrier launches new Internet backbone PoP in Berlin, bringing much-needed high speed, low latency connect... https://t.co/nQ4EH1UoS4",neutral
@teliafinland Is this a joke?! You're saying entire Internet authorised to send e-mail 'from' telia.fi? You realise… https://t.co/1ze29hgDwH,negative
i really hope Telia Tequila found love,positive
@TeliaSverige leads in Swedish mobile market... via @mobileeurope https://t.co/F4ZDX4lBUe #mobilebenchmark2017 #pbmsve17 #p3 #connect,neutral
Stay strong grandma. Free Van and Pooh. I love you Telia and Sophie. 🙏🏾💪🏾❤️😘,positive
"Telia shows off 5G in Europe with Ericsson, Intel https://t.co/2bq9CuTdCo",neutral
P3 names Telia best mobile operator in Sweden #Telecom https://t.co/sdFnlkV7J9,neutral
"RT @TeliaCompany: Telia has Sweden’s most satisfied business customers, our mobile brand Halebop has most satisfied private customers https…",negative
LAT | Telia warns the Government it may sell all of its shares in LMT and Lattelecom https://t.co/IA0tENrHqL,neutral
"RT @Telecompaper: P3 names #Telia best mobile network operator in Sweden, #Tele2 second https://t.co/O2eiQM7vrU",neutral
P3 names Telia best mobile operator in Sweden https://t.co/nDMZLDan4b https://t.co/ghrECOzsKs,neutral
"#Podcast - What are the key lessons to be garnered from the top #FCPA enforcement action of 2017, the #Telia case?",neutral
https://t.co/t2G4HiMCH9,neutral
"#Podcast - What are the key lessons to be garnered from the top #FCPA enforcement action of 2017, the #Telia case?",neutral
https://t.co/bbQvDkuyaY,neutral
P3 names Telia best mobile operator in Sweden https://t.co/xyP6ffTX9D,neutral
"P3 names #Telia best mobile network operator in Sweden, #Tele2 second https://t.co/O2eiQM7vrU",neutral
"Telia Carrier Launches New Internet Backbone PoP in Colocation Facility in Berlin, Germany - Hosting Journalist https://t.co/IniNu3UGo6",neutral
I added a video to a @YouTube playlist https://t.co/ixjmj4MyiR Hvilken musikk liker artistene egentlig? | Telia,neutral
"Telia Carrier launches new Internet backbone PoP in Berlin, bringing much-needed high speed, low latency connect... https://t.co/FPD3cA62Is",neutral
https://t.co/sNhmHSo0QL,neutral
lets make this a good deal!,positive
#telia #esportsfi,neutral
.@ElisaOyj manages to almost defend Finnish mobile SIM base in Q3 (-900 SIMs) but churn rates peak. Telia reports t… https://t.co/6j0EbDdIKb,neutral
"Bella Curls, Meille Organics, and I just heard of Taliah Wajiid( I think that's how you spell it lol) https://t.co/46AT91asU0",neutral
"Telia Carrier Launches New Internet Backbone PoP in Colocation Facility in Berlin, Germany - Hosting Journalist https://t.co/RM2lnDdCEH",neutral
"Telia promises to help digitalization of society after merger of LMT, Lattelecom companies - #Latvia #tax #corpora…… https://t.co/MSeLBUpp2h",neutral
"RT @FinanzLinksWELT: Telia promises to help digitalization of society after merger of LMT, Lattelecom companies https://t.co/Zbgzr2srt2 BAL…",neutral
"Telia promises to help digitalization of society after merger of LMT, Lattelecom companies https://t.co/Zbgzr2srt2 BALTIC COURSE",neutral
We are ready for the Wedding!! 😂😂💕💕 #TheWopsters #TheManeEvent https://t.co/zHd3zUOmXm,positive
RT @TeliaCompany: Welcome! Telia Talk with Prof. @rgeccles :How sustainability is integrated in governing structure and reporting 8/11,neutral
http…,neutral
Sweden's Telia is trilled dead a contemporary code coating that foretells when a smartphone is approximately to misfunction and...,neutral
Swedish startup is helping telia automate device care for customers light reading - https://t.co/xuJYVd5oOO,neutral
@Coach_T_Marks Thanks Telia #wahoosis,positive
RT @MDoses: Damn. #Celtics #Cavs #lebron #hayward #NBAisBack #nba https://t.co/DUSCKi41Fl,neutral
#Hayward broke his leg on opening night!!,neutral
RT @capacitymedia: .@Datasix picks @TeliaCarrier to boost capacity at it's Vienna #DataCentre using Telia's #Fibre backbone &gt;&gt; https://t.co…,neutral
"Telia Carrier launches new Internet backbone PoP in Berlin, bringing much-needed high speed, low latency connect... https://t.co/Fjtzfqg5qX",neutral
"RT @TeliaCompany: Telia has Sweden’s most satisfied business customers, our mobile brand Halebop has most satisfied private customers https…",negative
RT @TeliaCompany: Telia’s network is best in test in Sweden! #mobilebenchmark2017 https://t.co/L9h8HdQToa https://t.co/ONbQVAlT3h,positive
"If you think 4G's quick, Telia, Ericsson's 5G field tests show speeds '40 times faster' https://t.co/GZbGGbBB6j #4G�5G 7E1A1111C26",neutral
RT @NottRihanna: let’s not forget this iconic transition https://t.co/AKxPutN6yR,neutral
"RT @eurweb: Toni Braxton and Birdman Did NOT Get Married, Rep Claims: ‘Toni is Dating’ https://t.co/ZuAhKz4BhR https://t.co/W57PhBhK6t",neutral
"Telia Carrier launches new Internet backbone PoP in Berlin, bringing much-needed high speed, low latency connect... https://t.co/oGAs1SIU1t",neutral
"RT @ColIegeStudent: “This isn't homework you can just do the night before it's due""",negative
First of all yes it is,positive
#Sweden  Clean  #OFF 🔓 4days 💪👉 https://t.co/zDDcshZZiZ 🔐,neutral
#iPhone_7_Plus_Black_32GB,neutral
