Tweet,Sentiment
Telia investeerib internetivõrgu uuendamisse 50 miljonit https://t.co/EEW57SVQ8N https://t.co/1eQnBhAKoF,neutral
RT villetolvanen: 555 lippua varattu! tule 1.11. teliafinland  DigitalistInfo #iot https://t.co/74YDMnU1dY,neutral
"Telia kriitilisest wifi-turvaveast: loodame, et parandused on mõne päeva küsimus https://t.co/QB1fDb7DzI https://t.co/qWej1Lqorf",neutral
"RT @geeniusmeedia: Õiguskantsler hakkas uurima, kas Telia tohib mõnda teenust pakkuda ilma andmemahtu arvestamata https://t.co/HN63ttJz3n h…",neutral
"RT @geeniusmeedia: Õiguskantsler hakkas uurima, kas Telia tohib mõnda teenust pakkuda ilma andmemahtu arvestamata https://t.co/HN63ttJz3n h…",neutral
"RT @geeniusmeedia: Õiguskantsler hakkas uurima, kas Telia tohib mõnda teenust pakkuda ilma andmemahtu arvestamata https://t.co/HN63ttJz3n h…",neutral
"Õiguskantsler hakkas uurima, kas Telia tohib mõnda teenust pakkuda ilma andmemahtu arvestamata… https://t.co/xfNalBTToF",neutral
"Kui Telia tegi omale lilla logo, olid muud, vähemrõvedamad värvid juba võetud. LillaKaru FAQ aga sonib: ""lilla toon sümboliseerib"" ... ouch!",neutral
@ch_christoforou @TikiTakaConnor @jeorgebird Ma ne re en touto pou laloume. File exasen ton telia. En eksanada etsi… https://t.co/IEF5iRDk4S,neutral
#QueenDream aka #KitKat @ North Carolina https://t.co/MJAe8IF17y,neutral
"norm, mingi online.ee sööb licc mu kirjad ära, thx Telia",neutral
Vieks robotit mun duunit? #Teknologia17 #robosteam #teamrobotics #telia,neutral
Telia emafirma ei ilmunud väikeaktsionäride vaidluses kohtusse https://t.co/qRbvAnfE87,neutral
Telia emafirma ei ilmunud väikeaktsionäride vaidluses kohtusse https://t.co/ybU2sFC4pI,neutral
Telia emafirma jättis väikeaktsionäride vaidluses kohtusse ilmumata https://t.co/UyQ28SMrOy https://t.co/m7UMdxg0GZ,neutral
"Telia valetas mulle, kui ütles, et ootejärjekord on kuus minutit :(",neutral
Spotify’d saavad nüüd Telia kliendid kuulata andmemahtu kulutamata https://t.co/bioIysMMkD,neutral
RT @geeniusmeedia: Spotify’d saavad nüüd Telia kliendid kuulata andmemahtu kulutamata https://t.co/K6yWUdugQW https://t.co/KTimWzS0c8,neutral
Spotify’d saavad nüüd Telia kliendid kuulata andmemahtu kulutamata https://t.co/K6yWUdugQW https://t.co/KTimWzS0c8,neutral
aga kui vara  ülal eks kaen seda telia ostuööd  ja ei midagi väga tarka asjaliku leia,neutral
Suurendame investeeringuid kiiresse internetiühendusse ligi viis korda https://t.co/B5913bb5V3.,neutral
